county_by_farmsize,county_by_farmsize_heads,livestock,state,status,subtype,iterations
True,False,ckn-layers,6,,dummy,
False,,ckn-pullets,6,,all,
False,,ckn-pullets,6,,dummy,
False,,ckn-roosters,6,,all,
False,,ckn-roosters,6,,dummy,
False,,ducks,6,,all,
False,,ducks,6,,dummy,
False,,emus,6,,all,
False,,emus,6,,dummy,
False,,geese,6,,all,
False,,geese,6,,dummy,
False,,guineas,6,,all,
False,,guineas,6,,dummy,
True,True,hogs,6,ignored,all,
True,True,hogs,6,ipf,dummy,109.0
False,,ostriches,6,,all,
False,,ostriches,6,,dummy,
False,,peafowl,6,,all,
False,,peafowl,6,,dummy,
False,,pheasants,6,,all,
False,,pheasants,6,,dummy,
False,,pigeons,6,,all,
False,,pigeons,6,,dummy,
False,,poultry-other,6,,all,
False,,poultry-other,6,,dummy,
False,,quail,6,,all,
False,,quail,6,,dummy,
False,,rheas,6,,all,
False,,rheas,6,,dummy,
True,True,sheep,6,ignored,all,
True,True,sheep,6,ipf,dummy,62.0
False,,turkeys,6,,all,
False,,turkeys,6,,dummy,
True,True,cattle,8,ignored,all,
True,True,cattle,8,ipf,beef,60.0
True,True,cattle,8,ipf,milk,501.0
True,True,cattle,8,ipf,other,41.0
False,,chukars,8,,all,
False,,chukars,8,,dummy,
False,,ckn-broilers,8,,all,
False,,ckn-broilers,8,,dummy,
True,False,ckn-layers,8,,all,
True,False,ckn-layers,8,,dummy,
False,,ckn-pullets,8,,all,
False,,ckn-pullets,8,,dummy,
False,,ckn-roosters,8,,all,
False,,ckn-roosters,8,,dummy,
False,,ducks,8,,all,
False,,ducks,8,,dummy,
False,,emus,8,,all,
False,,emus,8,,dummy,
False,,geese,8,,all,
False,,geese,8,,dummy,
False,,guineas,8,,all,
False,,guineas,8,,dummy,
True,True,hogs,8,ignored,all,
True,True,hogs,8,ipf,dummy,120.0
False,,ostriches,8,,all,
False,,ostriches,8,,dummy,
False,,partridges,8,,all,
False,,partridges,8,,dummy,
False,,peafowl,8,,all,
False,,peafowl,8,,dummy,
False,,pheasants,8,,all,
False,,pheasants,8,,dummy,
False,,pigeons,8,,all,
False,,pigeons,8,,dummy,
False,,poultry-other,8,,all,
False,,poultry-other,8,,dummy,
False,,quail,8,,all,
False,,quail,8,,dummy,
False,,rheas,8,,all,
False,,rheas,8,,dummy,
True,True,sheep,8,ignored,all,
True,True,sheep,8,ipf,dummy,73.0
False,,turkeys,8,,all,
False,,turkeys,8,,dummy,
True,True,cattle,9,ignored,all,
True,True,cattle,9,ipf,beef,75.0
True,True,cattle,9,ipf,milk,93.0
True,True,cattle,9,ipf,other,59.0
False,,chukars,9,,all,
False,,chukars,9,,dummy,
False,,ckn-broilers,9,,all,
False,,ckn-broilers,9,,dummy,
True,False,ckn-layers,9,,all,
True,False,ckn-layers,9,,dummy,
False,,ckn-pullets,9,,all,
False,,ckn-pullets,9,,dummy,
False,,ckn-roosters,9,,all,
False,,ckn-roosters,9,,dummy,
False,,ducks,9,,all,
False,,ducks,9,,dummy,
False,,emus,9,,all,
False,,emus,9,,dummy,
False,,geese,9,,all,
False,,geese,9,,dummy,
False,,guineas,9,,all,
False,,guineas,9,,dummy,
True,True,hogs,9,ignored,all,
True,True,hogs,9,ipf,dummy,223.0
False,,peafowl,9,,all,
False,,peafowl,9,,dummy,
False,,pheasants,9,,all,
False,,pheasants,9,,dummy,
False,,pigeons,9,,all,
False,,pigeons,9,,dummy,
False,,poultry-other,9,,all,
False,,poultry-other,9,,dummy,
False,,quail,9,,all,
False,,quail,9,,dummy,
True,True,sheep,9,ignored,all,
True,True,sheep,9,ipf,dummy,24.0
False,,turkeys,9,,all,
False,,turkeys,9,,dummy,
True,True,cattle,10,ignored,all,
True,True,cattle,10,ipf,beef,1.0
True,True,cattle,10,ipf,milk,9.0
True,True,cattle,10,ipf,other,34.0
False,,chukars,10,,all,
False,,chukars,10,,dummy,
False,,ckn-broilers,10,,all,
False,,ckn-broilers,10,,dummy,
True,False,ckn-layers,10,,all,
True,False,ckn-layers,10,,dummy,
False,,ckn-pullets,10,,all,
False,,ckn-pullets,10,,dummy,
False,,ckn-roosters,10,,all,
False,,ckn-roosters,10,,dummy,
False,,ducks,10,,all,
False,,ducks,10,,dummy,
False,,emus,10,,all,
False,,emus,10,,dummy,
False,,geese,10,,all,
False,,geese,10,,dummy,
False,,guineas,10,,all,
False,,guineas,10,,dummy,
True,True,hogs,10,ignored,all,
True,True,hogs,10,ipf,dummy,14.0
False,,peafowl,10,,all,
False,,peafowl,10,,dummy,
False,,pheasants,10,,all,
False,,pheasants,10,,dummy,
False,,pigeons,10,,all,
False,,pigeons,10,,dummy,
False,,quail,10,,all,
False,,quail,10,,dummy,
True,True,sheep,10,ignored,all,
True,True,sheep,10,ipf,dummy,7.0
False,,turkeys,10,,all,
False,,turkeys,10,,dummy,
True,True,cattle,12,ignored,all,
True,True,cattle,12,ipf,beef,140.0
True,True,cattle,12,ipf,milk,148.0
True,True,cattle,12,ipf,other,53.0
False,,chukars,12,,all,
False,,chukars,12,,dummy,
False,,ckn-broilers,12,,all,
False,,ckn-broilers,12,,dummy,
True,False,ckn-layers,12,,all,
True,False,ckn-layers,12,,dummy,
False,,ckn-pullets,12,,all,
False,,ckn-pullets,12,,dummy,
False,,ckn-roosters,12,,all,
False,,ckn-roosters,12,,dummy,
False,,ducks,12,,all,
False,,ducks,12,,dummy,
False,,emus,12,,all,
False,,emus,12,,dummy,
False,,geese,12,,all,
False,,geese,12,,dummy,
False,,guineas,12,,all,
False,,guineas,12,,dummy,
True,True,hogs,12,ignored,all,
True,True,hogs,12,ipf,dummy,120.0
False,,ostriches,12,,all,
False,,ostriches,12,,dummy,
False,,partridges,12,,all,
False,,partridges,12,,dummy,
False,,peafowl,12,,all,
False,,peafowl,12,,dummy,
False,,pheasants,12,,all,
False,,pheasants,12,,dummy,
False,,pigeons,12,,all,
False,,pigeons,12,,dummy,
False,,poultry-other,12,,all,
False,,poultry-other,12,,dummy,
False,,quail,12,,all,
False,,quail,12,,dummy,
False,,rheas,12,,all,
False,,rheas,12,,dummy,
True,True,sheep,12,ignored,all,
True,True,sheep,12,ipf,dummy,32.0
False,,turkeys,12,,all,
False,,turkeys,12,,dummy,
True,True,cattle,13,ignored,all,
True,True,cattle,13,ipf,beef,44.0
True,True,cattle,13,ipf,milk,332.0
True,True,cattle,13,ipf,other,63.0
False,,chukars,13,,all,
False,,chukars,13,,dummy,
False,,ckn-broilers,13,,all,
False,,ckn-broilers,13,,dummy,
True,False,ckn-layers,13,,all,
True,False,ckn-layers,13,,dummy,
False,,ckn-pullets,13,,all,
False,,ckn-pullets,13,,dummy,
False,,ckn-roosters,13,,all,
False,,ckn-roosters,13,,dummy,
False,,ducks,13,,all,
False,,ducks,13,,dummy,
False,,emus,13,,all,
False,,emus,13,,dummy,
False,,geese,13,,all,
False,,geese,13,,dummy,
False,,guineas,13,,all,
False,,guineas,13,,dummy,
True,True,hogs,13,ignored,all,
True,True,hogs,13,ipf,dummy,501.0
False,,ostriches,13,,all,
False,,ostriches,13,,dummy,
False,,partridges,13,,all,
False,,partridges,13,,dummy,
False,,peafowl,13,,all,
