status,county_by_farmsize,deficit,diff,farms_by_size,lambda0,tot_farms,tot_heads
gaps,False,247.0,268.0,False,11.761904761904763,180.0,1019.0
ignored,,,,,,,
gaps,False,214.0,224.0,False,21.4,398.0,4782.0
ignored,,,,,,,
gaps,True,38492.0,38510.0,True,7856.75,1053.0,145376.0
ignored,,,,,,,
gaps,False,158.0,176.0,False,8.777777777777779,110.0,657.0
ignored,,,,,,,
gaps,False,13040.142857142857,13045.142857142859,False,2608.0285714285715,19.0,13370.142857142857
ignored,,,,,,,
gaps,False,121.0,126.0,False,24.2,16.0,921.0
ignored,,,,,,,
gaps,False,421.0,423.99999999999994,False,140.33333333333331,7.0,421.0
ignored,,,,,,,
gaps,False,3593.0,3606.0,False,276.3846153846154,123.0,6939.0
ignored,,,,,,,
gaps,False,13.555555555555555,14.555555555555555,False,13.555555555555555,1.0,13.555555555555555
ignored,,,,,,,
gaps,True,717.0,726.0000000000036,True,26.71428571428571,1140.0,32485.0
ignored,,,,,,,
gaps,False,430322.0,430335.0,False,33101.692307692305,497.0,11393027.0
ignored,,,,,,,
gaps,True,162776.0,162793.0,True,542.375,9324.0,682020.0
gaps,True,19309.0,19322.999999999767,True,2266.833333333333,1117.0,1688202.0
gaps,True,3008.0,3010.0,True,1808.0,9238.0,2868848.0
ignored,,,,,,,
gaps,False,17911.0,17917.999999999993,False,2558.714285714286,24.0,45061.0
ignored,,,,,,,
gaps,False,26645336.0,26645347.0,False,2422303.2727272725,700.0,50781157.0
ignored,,,,,,,
gaps,False,3394419.0,3394424.0,True,978082.3333333334,6310.0,13454544.0
ignored,,,,,,,
gaps,False,1997308.0,1997317.0,False,221923.11111111112,906.0,3794018.0
ignored,,,,,,,
gaps,False,35056.0,35064.0,False,4382.0,970.0,40818.0
ignored,,,,,,,
gaps,False,238602.0,238611.0,False,26511.333333333332,842.0,621454.0
ignored,,,,,,,
gaps,False,28.0,35.0,False,4.0,79.0,266.0
ignored,,,,,,,
gaps,False,4885.0,4897.999999999999,False,375.7692307692308,326.0,7597.0
ignored,,,,,,,
gaps,False,31504.0,31516.0,False,2625.3333333333335,289.0,34283.0
ignored,,,,,,,
gaps,True,49185.0,49193.0,True,21393.0,1374.0,82010.0
ignored,,,,,,,
gaps,False,22.0,25.00000000000003,False,7.333333333333334,18.0,168.0
ignored,,,,,,,
gaps,False,153.0,167.0,False,10.928571428571427,195.0,1369.0
ignored,,,,,,,
gaps,False,42547.0,42556.999999999985,False,4254.700000000001,52.0,102880.0
ignored,,,,,,,
gaps,False,13867.0,13885.000000000015,False,770.3888888888889,118.0,84491.0
ignored,,,,,,,
gaps,False,4340.0,4345.0,False,868.0,6.0,4340.0
ignored,,,,,,,
gaps,False,7773.0,7788.000000000029,False,518.2,114.0,248445.0
ignored,,,,,,,
gaps,False,20.0,22.0,False,10.0,5.0,20.0
ignored,,,,,,,
gaps,True,77390.0,77396.0,True,17992.25,3096.0,532849.0
ignored,,,,,,,
gaps,False,2121244.0,2121259.0,False,141416.26666666666,524.0,2186868.0
ignored,,,,,,,
gaps,True,257963.0,257988.0,True,375.9565217391304,10037.0,646005.0
gaps,True,13457.0,13479.99999999997,True,1164.2857142857144,414.0,201750.0
gaps,True,72044.0,72046.0,True,66574.0,9304.0,1810257.0
ignored,,,,,,,
gaps,False,11418.0,11430.0,False,951.5,32.0,11480.0
ignored,,,,,,,
gaps,False,89528.0,89541.00000000001,False,6886.7692307692305,585.0,118209.0
ignored,,,,,,,
gaps,False,1162850.0,1162857.0,True,455235.0,6236.0,1726744.0
ignored,,,,,,,
gaps,False,2129012.0,2129026.0,False,152072.2857142857,786.0,2140836.0
ignored,,,,,,,
gaps,False,30239.5,30251.500000000007,False,2519.9583333333335,968.0,33593.5
ignored,,,,,,,
gaps,False,117.0,125.0,False,14.625,1058.0,8586.0
ignored,,,,,,,
gaps,False,93.0,103.00000000000006,False,9.3,31.0,172.0
ignored,,,,,,,
gaps,False,61.0,69.0,False,7.625,346.0,1407.0
ignored,,,,,,,
gaps,False,339.0,350.0,False,30.81818181818182,307.0,2462.0
ignored,,,,,,,
gaps,True,505186.0,505203.0,True,49036.100000000006,1224.0,515878.0
ignored,,,,,,,
gaps,False,158.75,159.75,False,158.75,2.0,158.75
ignored,,,,,,,
gaps,False,799.4666666666666,800.4666666666666,False,799.4666666666666,1.0,799.4666666666666
ignored,,,,,,,
gaps,False,215.0,233.0,False,11.944444444444443,160.0,1054.0
ignored,,,,,,,
gaps,False,29103.0,29118.000000000004,False,1940.2,64.0,29471.0
ignored,,,,,,,
gaps,False,1398.0,1410.0,False,116.5,45.0,3754.0
ignored,,,,,,,
gaps,False,1099.6153846153845,1107.6153846153845,False,137.45192307692307,38.0,1304.6153846153845
ignored,,,,,,,
gaps,False,4211.0,4225.000000000002,False,300.7857142857143,86.0,5428.0
ignored,,,,,,,
gaps,False,13.555555555555555,14.555555555555555,False,13.555555555555555,1.0,13.555555555555555
ignored,,,,,,,
gaps,True,23413.0,23419.0,True,20627.0,1480.0,362574.0
ignored,,,,,,,
gaps,False,104.0,109.0,False,20.8,703.0,5735.0
ignored,,,,,,,
gaps,True,427.0,429.0,True,51.0,616.0,5897.0
gaps,True,29.0,31.0,True,13.0,145.0,18885.0
no gaps,,,,,,593.0,21055.0
ignored,,,,,,,
no gaps,,,,,,11.0,1500.0
ignored,,,,,,,
no gaps,,,,,,140.0,51667.0
ignored,,,,,,,
gaps,False,4129545.6666666665,4129546.6666666665,True,4026601.6666666665,1209.0,4167828.6666666665
ignored,,,,,,,
gaps,False,477967.5,477968.5,False,477967.5,148.0,483387.5
ignored,,,,,,,
gaps,False,3836.0,3838.0,False,1918.0,191.0,5367.0
ignored,,,,,,,
no gaps,,,,,,220.0,3089.0
ignored,,,,,,,
gaps,False,14.0,18.0,False,3.5,11.0,38.0
ignored,,,,,,,
no gaps,,,,,,73.0,484.0
ignored,,,,,,,
gaps,False,38.0,41.0,False,12.666666666666668,55.0,1081.0
ignored,,,,,,,
no gaps,,,,,,218.0,3701.0
ignored,,,,,,,
gaps,False,22.0,26.0,False,5.5,24.0,140.0
ignored,,,,,,,
gaps,False,734.0,737.0,False,244.66666666666669,14.0,1612.0
ignored,,,,,,,
gaps,False,73.0,76.0,False,24.333333333333336,4.0,73.0
ignored,,,,,,,
no gaps,,,,,,9.0,132.0
ignored,,,,,,,
gaps,False,82.0,84.0,False,41.0,28.0,1971.0
ignored,,,,,,,
no gaps,,,,,,332.0,4083.0
ignored,,,,,,,
no gaps,,,,,,154.0,3108.0
ignored,,,,,,,
no gaps,,,,,,178.0,1583.0
no gaps,,,,,,41.0,2507.0
no gaps,,,,,,141.0,6003.0
ignored,,,,,,,
no gaps,,,,,,3.0,72.0
ignored,,,,,,,
no gaps,,,,,,583.0,50458117.0
ignored,,,,,,,
gaps,False,4146436.6666666665,4146437.6666666665,True,4045201.6666666665,197.0,4150858.6666666665
ignored,,,,,,,
gaps,False,477967.5,477970.5,False,159322.5,21.0,477967.5
ignored,,,,,,,
no gaps,,,,,,23.0,206.0
ignored,,,,,,,
no gaps,,,,,,61.0,1156.0
ignored,,,,,,,
gaps,False,20.0,21.0,False,20.0,2.0,20.0
ignored,,,,,,,
gaps,False,14.0,16.0,False,7.0,20.0,67.0
ignored,,,,,,,
gaps,False,117.0,119.0,False,58.5,10.0,182.0
ignored,,,,,,,
no gaps,,,,,,46.0,2935.0
ignored,,,,,,,
gaps,False,11.0,12.0,False,11.0,9.0,93.0
ignored,,,,,,,
